	0.24045	0.24638	0.25436	0.24997	0.24452	0.25820	0.27150	0.28533	0.30069	0.32301	0.34791	0.38836	
		0.26528	0.27222	0.26905	0.26376	0.26097	0.28049	0.29289	0.31089	0.33216	0.35493	0.39639	
			0.28912	0.28441	0.28435	0.28244	0.28157	0.30210	0.31851	0.33995	0.36541	0.40641	
				0.30297	0.30135	0.29956	0.30193	0.30646	0.32821	0.34873	0.37616	0.41440	
					0.31705	0.31937	0.32495	0.32504	0.33322	0.35745	0.38185	0.41286	
						0.34042	0.34228	0.34530	0.35299	0.36182	0.39337	0.42445	
							0.35910	0.36503	0.37179	0.38608	0.39959	0.43519	
								0.38510	0.39499	0.40470	0.42191	0.44738	
									0.41898	0.43598	0.44963	0.46881	
										0.44201	0.45779	0.48162	
											0.46829	0.49384	
												0.50697	
													
