0.21846	0.13835	0.14878	0.15542	0.14710	0.14148	0.15050	0.16189	0.17380	0.18349	0.20067	0.22134	0.25391	
	0.24224	0.16486	0.17255	0.16704	0.16043	0.15659	0.16824	0.17959	0.19174	0.20984	0.22610	0.26273	
		0.26099	0.18926	0.18506	0.17761	0.17350	0.17209	0.18852	0.19705	0.21652	0.23550	0.27213	
			0.28758	0.20131	0.19702	0.19414	0.19087	0.19125	0.20809	0.22443	0.24517	0.28164	
				0.31245	0.21670	0.20986	0.21041	0.21437	0.21377	0.23214	0.25363	0.27441	
					0.34081	0.23152	0.23065	0.23383	0.23221	0.23989	0.25853	0.28772	
						0.37575	0.24846	0.25554	0.25240	0.26267	0.27072	0.29966	
							0.41040	0.27763	0.27755	0.28444	0.29381	0.31211	
								0.45095	0.30524	0.31188	0.32668	0.33972	
									0.49288	0.32537	0.33708	0.35358	
										0.53324	0.34935	0.36744	
											0.58328	0.38655	
												0.63846	
