0.14034	0.07708	0.08281	0.08651	0.07751	0.07319	0.07615	0.08061	0.08987	0.09592	0.10411	0.11626	0.13831	
	0.14571	0.09355	0.09900	0.09001	0.08370	0.07901	0.08291	0.09191	0.09732	0.10653	0.12006	0.14577	
		0.15139	0.11042	0.10287	0.09703	0.09238	0.08665	0.09589	0.10256	0.11271	0.12558	0.14918	
			0.15946	0.11421	0.11045	0.10341	0.09960	0.09946	0.10568	0.11289	0.12865	0.15211	
				0.17180	0.12091	0.11841	0.11292	0.11312	0.10810	0.12041	0.13337	0.14604	
					0.18737	0.12947	0.12893	0.12645	0.12477	0.12396	0.13871	0.15225	
						0.20269	0.14203	0.14380	0.14155	0.14180	0.14678	0.16225	
							0.22117	0.16341	0.16084	0.15671	0.16211	0.17283	
								0.25206	0.18602	0.18762	0.19245	0.19840	
									0.28482	0.19968	0.20167	0.21101	
										0.32271	0.21752	0.22352	
											0.37352	0.24507	
												0.43792	
