	0.09284	0.09597	0.09905	0.09141	0.08501	0.08785	0.09161	0.09608	0.10173	0.10817	0.12043	0.13619	
		0.10455	0.11020	0.10106	0.09492	0.09005	0.09423	0.09935	0.10364	0.11105	0.12004	0.13981	
			0.11617	0.10945	0.10367	0.09806	0.09370	0.10206	0.10704	0.11413	0.12303	0.14233	
				0.11925	0.11589	0.10851	0.10442	0.10165	0.10799	0.11456	0.12686	0.14620	
					0.12244	0.12156	0.11100	0.11245	0.11037	0.11697	0.12763	0.14032	
						0.12593	0.12512	0.12442	0.11964	0.12054	0.13143	0.14270	
							0.13347	0.13742	0.13265	0.13216	0.13441	0.14735	
								0.14739	0.14499	0.14434	0.14868	0.15465	
									0.16727	0.16933	0.16781	0.17350	
										0.17210	0.17890	0.18283	
											0.18722	0.19380	
												0.20684	
													
