	0.11715	0.12077	0.12687	0.11807	0.11489	0.11558	0.12285	0.12991	0.14015	0.14800	0.16125	0.18067	
		0.13282	0.13904	0.12997	0.12538	0.12057	0.12379	0.13513	0.14243	0.15046	0.16474	0.18608	
			0.14824	0.14177	0.13755	0.13153	0.12786	0.13499	0.14200	0.15271	0.16743	0.19131	
				0.15048	0.14873	0.14218	0.13982	0.13700	0.14680	0.15599	0.16870	0.19568	
					0.15998	0.15662	0.15262	0.15231	0.15064	0.16185	0.17178	0.18708	
						0.16966	0.16747	0.16602	0.16237	0.16389	0.17955	0.19461	
							0.17853	0.18297	0.18089	0.18108	0.18694	0.20132	
								0.19797	0.19802	0.20045	0.20393	0.20965	
									0.22222	0.22356	0.22831	0.23285	
										0.23126	0.23837	0.24522	
											0.25363	0.25886	
												0.27699	
													
