0.49993	0.32446	0.33155	0.34541	0.33760	0.34683	0.36933	0.39377	0.41507	0.44668	0.47460	0.50470	0.54637	
	0.53638	0.35236	0.36318	0.35897	0.36737	0.37379	0.39913	0.42727	0.45237	0.48028	0.51755	0.56017	
		0.56967	0.37921	0.37942	0.38413	0.39651	0.40814	0.43434	0.46182	0.48846	0.52154	0.56667	
			0.60339	0.40061	0.40162	0.41454	0.42513	0.44245	0.47559	0.50175	0.53546	0.57879	
				0.63365	0.42636	0.43105	0.44440	0.46229	0.47990	0.50845	0.54157	0.57620	
					0.66005	0.45098	0.46145	0.47805	0.49589	0.51967	0.55443	0.58880	
						0.69098	0.48207	0.49795	0.51792	0.53411	0.55875	0.60069	
							0.71891	0.51414	0.52976	0.55478	0.58031	0.60857	
								0.74928	0.55306	0.57335	0.59815	0.62565	
									0.77415	0.57951	0.60636	0.63417	
										0.79817	0.61475	0.64472	
											0.82499	0.65546	
												0.85036	
